Geography,Percentage of the Population that reported having Diabetes
Kenya,1.1
Mombasa,0.7
Kwale,0.7
Kilifi,1.3
Tana River,0
Lamu,2.2
Taita / Taveta,0.8
Garissa,1.9
Wajir,2
Mandera,0.4
Marsabit,0.7
Isiolo,0.9
Meru,0.6
Tharaka-Nithi,0.5
Embu,1.7
Kitui,1.2
Machakos,2.1
Makueni,1.2
Nyandarua,2.8
Nyeri,3.3
Kirinyaga,0.6
Murang'a,1.6
Kiambu,3
Turkana,0
West Pokot,0.4
Samburu,0.8
Trans Nzoia,0.2
Uasin Gishu,1.3
Elgeyo / Marakwet,0
Nandi,1.1
Baringo,0.2
Laikipia,3.3
Nakuru,1.7
Narok,0.3
Kajiado,1
Kericho,0.8
Bomet,0.5
Kakamega,0.4
Vihiga,0.5
Bungoma,0.3
Busia,1.2
Siaya,0.7
Kisumu,0.2
Homa Bay,0.5
Migori,0.2
Kisii,2
Nyamira,1.3
Nairobi City,2.5
